revenue,orders,aov,month
6613.529999999978,1,6613.529999999978,2016-09
1975930.3900000018,265,7456.341094339629,2016-10
534.0999999999996,1,534.0999999999996,2016-12
5478119.639999999,750,7304.159519999998,2017-01
11479429.500000002,1658,6923.660735826298,2017-02
17601234.209999986,2550,6902.444788235289,2017-03
16690267.159999996,2304,7244.039565972221,2017-04
23981641.740000006,3555,6745.890784810128,2017-05
20676804.400000013,3141,6582.873097739578,2017-06
23595524.609999977,3879,6082.888530549105,2017-07
27205218.039999984,4206,6468.192591535897,2017-08
29741087.45999999,4158,7152.738686868684,2017-09
31760676.219999984,4484,7083.112448706508,2017-10
48416829.71999998,7306,6626.995581713657,2017-11
35556401.789999984,5514,6448.386251360172,2017-12
45311790.01999997,7076,6403.588188241941,2018-01
40499934.71999999,6567,6167.189693924165,2018-02
46716866.97999999,7014,6660.517105788422,2018-03
47696132.67999998,6805,7008.983494489343,2018-04
47907508.04,6755,7092.155150259067,2018-05
41936614.30000004,6104,6870.3496559633095,2018-06
42539398.23000002,6174,6890.087176870751,2018-07
41078849.91000002,6351,6468.091624940957,2018-08
